algo,thresh,case,coeff
MABS,ThresholdedMasks,"017_NA3_040",0.95399356
MABS,ThresholdedMasks,"015_NAA_006",0.96800065
MABS,ThresholdedMasks,"019_NA3_010",0.96503866
MABS,ThresholdedMasks,"019_NAA_029",0.9706969
MABS,ThresholdedMasks,"015_MPG_002",0.97270125
MABS,ThresholdedMasks,"019_NAA_014",0.97095823
MABS,ThresholdedMasks,"008_TMS_011",0.9794152
MABS,ThresholdedMasks,"023_NA3_039",0.973005
MABS,ThresholdedMasks,"003_GNX_013",0.98618543
MABS,ThresholdedMasks,"023_NA3_002",0.97446537
MABS,ThresholdedMasks,"023_NAA_007",0.97289973
MABS,ThresholdedMasks,"016_NAA_011",0.97809464
MABS,ThresholdedMasks,"017_MPG_005",0.96279085
MABS,ThresholdedMasks,"017_NA3_056",0.9712281
MABS,ThresholdedMasks,"017_NA3_038",0.9581401
MABS,ThresholdedMasks,"016_NA3_027",0.9654439
MABS,ThresholdedMasks,"015_NAA_002",0.9721912
MABS,ThresholdedMasks,"023_PET_007-time1",0.9706141
MABS,ThresholdedMasks,"015_NA3_017",0.9792956
MABS,ThresholdedMasks,"015_NA3_006",0.9579862
MABS,UnThresholdedMasks,"017_NA3_040",0.9481346
MABS,UnThresholdedMasks,"015_NAA_006",0.9640362
MABS,UnThresholdedMasks,"019_NA3_010",0.96017605
MABS,UnThresholdedMasks,"019_NAA_029",0.973173
MABS,UnThresholdedMasks,"015_MPG_002",0.96903896
MABS,UnThresholdedMasks,"019_NAA_014",0.9675748
MABS,UnThresholdedMasks,"008_TMS_011",0.9816602
MABS,UnThresholdedMasks,"023_NA3_039",0.9765534
MABS,UnThresholdedMasks,"003_GNX_013",0.9873953
MABS,UnThresholdedMasks,"023_NA3_002",0.9761513
MABS,UnThresholdedMasks,"023_NAA_007",0.9746243
MABS,UnThresholdedMasks,"016_NAA_011",0.9806695
MABS,UnThresholdedMasks,"017_MPG_005",0.9580811
MABS,UnThresholdedMasks,"017_NA3_056",0.9672919
MABS,UnThresholdedMasks,"017_NA3_038",0.95327485
MABS,UnThresholdedMasks,"016_NA3_027",0.95992243
MABS,UnThresholdedMasks,"015_NAA_002",0.96972054
MABS,UnThresholdedMasks,"023_PET_007-time1",0.97206575
MABS,UnThresholdedMasks,"015_NA3_017",0.98128647
MABS,UnThresholdedMasks,"015_NA3_006",0.95264053
NNLSFusionR2,ThresholdedMasks,"017_NA3_040",0.97568667
NNLSFusionR2,ThresholdedMasks,"015_NAA_006",0.97315073
NNLSFusionR2,ThresholdedMasks,"019_NA3_010",0.97888535
NNLSFusionR2,ThresholdedMasks,"019_NAA_029",0.9457909
NNLSFusionR2,ThresholdedMasks,"015_MPG_002",0.97487956
NNLSFusionR2,ThresholdedMasks,"019_NAA_014",0.9725851
NNLSFusionR2,ThresholdedMasks,"008_TMS_011",0.95576173
NNLSFusionR2,ThresholdedMasks,"023_NA3_039",0.94535136
NNLSFusionR2,ThresholdedMasks,"003_GNX_013",0.9628074
NNLSFusionR2,ThresholdedMasks,"023_NA3_002",0.9503907
NNLSFusionR2,ThresholdedMasks,"023_NAA_007",0.95057786
NNLSFusionR2,ThresholdedMasks,"016_NAA_011",0.95212597
NNLSFusionR2,ThresholdedMasks,"017_MPG_005",0.9765704
NNLSFusionR2,ThresholdedMasks,"017_NA3_056",0.9734733
NNLSFusionR2,ThresholdedMasks,"017_NA3_038",0.97458106
NNLSFusionR2,ThresholdedMasks,"016_NA3_027",0.9811413
NNLSFusionR2,ThresholdedMasks,"015_NAA_002",0.9697893
NNLSFusionR2,ThresholdedMasks,"023_PET_007-time1",0.9537506
NNLSFusionR2,ThresholdedMasks,"015_NA3_017",0.95457697
NNLSFusionR2,ThresholdedMasks,"015_NA3_006",0.97881174
NNLSFusionR2,UnThresholdedMasks,"017_NA3_040",0.97568667
NNLSFusionR2,UnThresholdedMasks,"015_NAA_006",0.97315073
NNLSFusionR2,UnThresholdedMasks,"019_NA3_010",0.97888535
NNLSFusionR2,UnThresholdedMasks,"019_NAA_029",0.9457909
NNLSFusionR2,UnThresholdedMasks,"015_MPG_002",0.97487956
NNLSFusionR2,UnThresholdedMasks,"019_NAA_014",0.9725851
NNLSFusionR2,UnThresholdedMasks,"008_TMS_011",0.95576173
NNLSFusionR2,UnThresholdedMasks,"023_NA3_039",0.94535136
NNLSFusionR2,UnThresholdedMasks,"003_GNX_013",0.9628074
NNLSFusionR2,UnThresholdedMasks,"023_NA3_002",0.9503907
NNLSFusionR2,UnThresholdedMasks,"023_NAA_007",0.95057786
NNLSFusionR2,UnThresholdedMasks,"016_NAA_011",0.95212597
NNLSFusionR2,UnThresholdedMasks,"017_MPG_005",0.9765704
NNLSFusionR2,UnThresholdedMasks,"017_NA3_056",0.9734733
NNLSFusionR2,UnThresholdedMasks,"017_NA3_038",0.97458106
NNLSFusionR2,UnThresholdedMasks,"016_NA3_027",0.9811413
NNLSFusionR2,UnThresholdedMasks,"015_NAA_002",0.9697893
NNLSFusionR2,UnThresholdedMasks,"023_PET_007-time1",0.9537506
NNLSFusionR2,UnThresholdedMasks,"015_NA3_017",0.95457697
NNLSFusionR2,UnThresholdedMasks,"015_NA3_006",0.97881174
NNLSFusionR4,ThresholdedMasks,"017_NA3_040",0.9752846
NNLSFusionR4,ThresholdedMasks,"015_NAA_006",0.97304434
NNLSFusionR4,ThresholdedMasks,"019_NA3_010",0.9785846
NNLSFusionR4,ThresholdedMasks,"019_NAA_029",0.9491464
NNLSFusionR4,ThresholdedMasks,"015_MPG_002",0.9749621
NNLSFusionR4,ThresholdedMasks,"019_NAA_014",0.9726313
NNLSFusionR4,ThresholdedMasks,"008_TMS_011",0.9560608
NNLSFusionR4,ThresholdedMasks,"023_NA3_039",0.9455999
NNLSFusionR4,ThresholdedMasks,"003_GNX_013",0.96281195
NNLSFusionR4,ThresholdedMasks,"023_NA3_002",0.9506501
NNLSFusionR4,ThresholdedMasks,"023_NAA_007",0.9507634
NNLSFusionR4,ThresholdedMasks,"016_NAA_011",0.9522802
NNLSFusionR4,ThresholdedMasks,"017_MPG_005",0.9765267
NNLSFusionR4,ThresholdedMasks,"017_NA3_056",0.9733311
NNLSFusionR4,ThresholdedMasks,"017_NA3_038",0.9741617
NNLSFusionR4,ThresholdedMasks,"016_NA3_027",0.98090374
NNLSFusionR4,ThresholdedMasks,"015_NAA_002",0.96983725
NNLSFusionR4,ThresholdedMasks,"023_PET_007-time1",0.9543385
NNLSFusionR4,ThresholdedMasks,"015_NA3_017",0.95485497
NNLSFusionR4,ThresholdedMasks,"015_NA3_006",0.978365
NNLSFusionR4,UnThresholdedMasks,"017_NA3_040",0.9752846
NNLSFusionR4,UnThresholdedMasks,"015_NAA_006",0.97304434
NNLSFusionR4,UnThresholdedMasks,"019_NA3_010",0.9785846
NNLSFusionR4,UnThresholdedMasks,"019_NAA_029",0.9491464
NNLSFusionR4,UnThresholdedMasks,"015_MPG_002",0.9749621
NNLSFusionR4,UnThresholdedMasks,"019_NAA_014",0.9726313
NNLSFusionR4,UnThresholdedMasks,"008_TMS_011",0.9560608
NNLSFusionR4,UnThresholdedMasks,"023_NA3_039",0.9455999
NNLSFusionR4,UnThresholdedMasks,"003_GNX_013",0.96281195
NNLSFusionR4,UnThresholdedMasks,"023_NA3_002",0.9506501
NNLSFusionR4,UnThresholdedMasks,"023_NAA_007",0.9507634
NNLSFusionR4,UnThresholdedMasks,"016_NAA_011",0.9522802
NNLSFusionR4,UnThresholdedMasks,"017_MPG_005",0.9765267
NNLSFusionR4,UnThresholdedMasks,"017_NA3_056",0.9733311
NNLSFusionR4,UnThresholdedMasks,"017_NA3_038",0.9741617
NNLSFusionR4,UnThresholdedMasks,"016_NA3_027",0.98090374
NNLSFusionR4,UnThresholdedMasks,"015_NAA_002",0.96983725
NNLSFusionR4,UnThresholdedMasks,"023_PET_007-time1",0.9543385
NNLSFusionR4,UnThresholdedMasks,"015_NA3_017",0.95485497
NNLSFusionR4,UnThresholdedMasks,"015_NA3_006",0.978365
NNLSFusionR8,ThresholdedMasks,"017_NA3_040",0.97450304
NNLSFusionR8,ThresholdedMasks,"015_NAA_006",0.9729243
NNLSFusionR8,ThresholdedMasks,"019_NA3_010",0.9780912
NNLSFusionR8,ThresholdedMasks,"019_NAA_029",0.94935036
NNLSFusionR8,ThresholdedMasks,"015_MPG_002",0.97494054
