"alg","mean","sd"
"Combined 0.7 [MABS 0.6,NNLSFusion 2,ImNeighborhoodCorrelation 2]",0.969024210526316,0.00786091322500091
"MABS 0.6",0.968279736842105,0.00806749323480147
"Combined 0.5 [MABS 0.6,NNLSFusion 2,ImNeighborhoodCorrelation 2]",0.968256421052632,0.00938188936382686
"Combined 0.6 [MABS 0.6,NNLSFusion 2,ImNeighborhoodCorrelation 2]",0.968256421052632,0.00938188936382686
"NNLSFusion 2",0.967980526315789,0.00958807741919574
"Combined 0.4 [MABS 0.5,DiPy,NNLSFusion 4]",0.967974210526316,0.00996717563125721
"NNLSFusion 4",0.967903052631579,0.00968905118892042
"ImNeighborhoodCorrelation 2",0.967840684210526,0.00961361959266719
"Combined 0.5 [MABS 0.5,DiPy,ImNeighborhoodCorrelation 5]",0.967816473684211,0.00990916836048774
"ImNeighborhoodCorrelation 5",0.967736157894737,0.00963529661230092
"Combined 0.5 [MABS 0.5,DiPy,NNLSFusion 4,ImNeighborhoodCorrelation 5]",0.967609421052632,0.0101996173910582
"ImNeighborhoodCorrelation 8",0.967448157894737,0.00968044323057321
"NNLSFusion 8",0.967361789473684,0.00972059156624024
"Combined 0.2 [MABS 0.6,NNLSFusion 2,ImNeighborhoodCorrelation 2]",0.966826157894737,0.0100149977104516
"ImMajorityVoting",0.966465684210526,0.00958551910176452
"MABS 0.4",0.965215578947368,0.0114580446912289
"MABS 0.5",0.965215578947368,0.0114580446912289
"MABS 0.9",0.961498947368421,0.0124024694874031
"Combined 0.2 [MABS 0.5,DiPy,NNLSFusion 4]",0.957520052631579,0.014792538526319
"DiPy",0.956522368421053,0.0122572766968602
"MABS 0.2",0.952407368421053,0.0162434753917125
