"alg","mean","sd"
"AntsJointFusion",0.972412947368421,0.00688498050084936
"Combined 0.7 [MABS 0.6,NNLSFusion 2,ImNeighborhoodCorrelation 2]",0.970451736842105,0.00516640705629599
"MABS 0.6",0.969910842105263,0.00543882244468372
"Combined 0.5 [MABS 0.6,NNLSFusion 2,ImNeighborhoodCorrelation 2]",0.969742526315789,0.00774951315580834
"Combined 0.6 [MABS 0.6,NNLSFusion 2,ImNeighborhoodCorrelation 2]",0.969742526315789,0.00774951315580834
"NNLSFusion 2",0.969739157894737,0.00787747782720642
"ImNeighborhoodCorrelation 2",0.969503473684211,0.00791653933489474
"Combined 0.4 [MABS 0.5,DiPy,NNLSFusion 4]",0.969422789473684,0.00812030194142331
"NNLSFusion 4",0.969414947368421,0.00796061585050419
"Combined 0.5 [MABS 0.5,DiPy,ImNeighborhoodCorrelation 5]",0.969243736842105,0.00815238574380466
"ImNeighborhoodCorrelation 5",0.969230421052632,0.00800125517455986
"Combined 0.5 [MABS 0.5,DiPy,NNLSFusion 4,ImNeighborhoodCorrelation 5]",0.969204631578947,0.00827243081439473
"Combined 0.2 [MABS 0.6,NNLSFusion 2,ImNeighborhoodCorrelation 2]",0.968963631578947,0.0082301118813141
"ImNeighborhoodCorrelation 8",0.968955578947368,0.00806842812252927
"NNLSFusion 8",0.968910368421053,0.00809508871827388
"ImMajorityVoting",0.968485789473684,0.0083558791782855
"MABS 0.5",0.967988684210526,0.00892212896275716
"MABS 0.4",0.966479368421053,0.0105809815770798
"Combined 0.2 [MABS 0.5,DiPy,NNLSFusion 4]",0.960473684210526,0.012999628238499
"MABS 0.9",0.960224789473684,0.0151712264631987
"DiPy",0.956522368421053,0.0122572766968602
"MABS 0.2",0.954899315789474,0.0162606004366814
